material_id,a,b,c,alpha,beta,gamma
mp-1211732,16.48008,6.382524,8.65934361144498,48.27878304545954,90.0,90.0
mp-3922,4.62089793,6.801795097316418,13.246779909540734,97.94880064949152,90.0,109.85751529188934
mp-37923,7.355421281471375,7.355421281471375,7.355421281471375,109.6813798524818,109.6813798524818,109.0517149024365
